identifiant;nom;prenom;sexe;adresse;club;annee_naissance;licence
2;SMITH;JAMES;M;Bruz;Bruz Athletisme;1970;255142
3;JOHNSON;JOHN;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1971;255143
4;WILLIAMS;ROBERT;M;Chantepie;;1972;
5;JONES;MICHAEL;M;Saint Erblon;;1973;
6;BROWN;WILLIAM;M;La Meziere;Agile Talon;1974;255146
7;DAVIS;DAVID;M;Montgermont;;1975;
8;MILLER;RICHARD;M;Bourgbarre;;1975;
9;WILSON;CHARLES;M;Orgeres;Jogging Loisir Orgeres;1976;255149
10;MOORE;JOSEPH;M;Montfort;EAPB;1976;255150
11;TAYLOR;THOMAS;M;Iffendic;;1977;
12;ANDERSON;CHRISTOPHER;M;Melesse;JA Melesse Athletisme;1977;255152
13;THOMAS;DANIEL;M;Bruz;;1978;
14;JACKSON;PAUL;M;Saint Malo;CJF St Malo;1979;255154
15;WHITE;MARK;M;Dinard;;1980;
16;HARRIS;DONALD;M;Angers;Anjou Athletisme;1981;255156
17;MARTIN;GEORGE;M;Brest;Stade Brestois;1978;255157
18;THOMPSON;KENNETH;M;Nantes;;1979;
19;GARCIA;STEVEN;M;Pace;SRA;1980;255159
20;MARTINEZ;EDWARD;M;Vern;;1981;
21;ROBINSON;BRIAN;M;Mordelles;;1982;
22;CLARK;RONALD;M;Saint Brieuc;ASPTT St Brieuc;1983;255162
23;RODRIGUEZ;ANTHONY;M;Paris;;1984;
24;LEWIS;KEVIN;M;Chantepie;;1985;
25;LEE;JASON;M;Cesson Sevigne;Athletic club cessonais;1986;255165
26;WALKER;MATTHEW;M;Thorigne;;1987;
27;HALL;GARY;M;Vezin;;1988;
28;ALLEN;TIMOTHY;M;Le Rheu;;1989;
29;YOUNG;JOSE;M;Fougeres;ASPTT Fougeres;1990;255169
30;HERNANDEZ;LARRY;M;Dinan;;1982;
31;KING;JEFFREY;M;Pont Pean;;1983;
32;WRIGHT;FRANK;M;Pont Rean;;1984;
33;LOPEZ;SCOTT;M;Chateaugiron;;1985;
34;HILL;ERIC;M;Rennes;SRA;1986;255174
35;SCOTT;STEPHEN;M;Cesson Sevigne;;1987;
36;GREEN;ANDREW;M;Rennes;SRA;1988;255176
37;ADAMS;RAYMOND;M;Romille;;1989;
38;BAKER;GREGORY;M;Chateaubourg;;1990;
39;GONZALEZ;JOSHUA;M;Nantes;Nantes Metropole Athletisme;1991;255179
40;NELSON;JERRY;M;Paris;;1992;
41;CARTER;DENNIS;M;Saint Brieuc;;1993;
42;MITCHELL;WALTER;M;Brest;;1994;
43;PEREZ;PATRICK;M;Morlaix;;1995;
44;ROBERTS;PETER;M;Quimper;;1996;
45;TURNER;HAROLD;M;Bruz;;1997;
46;PHILLIPS;DOUGLAS;M;Chartres de Bretagne;EACB;1998;255186
47;CAMPBELL;HENRY;M;Chantepie;;1999;
48;PARKER;CARL;M;Saint Erblon;;2000;
49;EVANS;ARTHUR;M;La Meziere;;1983;
50;EDWARDS;RYAN;M;Montgermont;;1984;
51;COLLINS;ROGER;M;Bourgbarre;;1985;
52;STEWART;JOE;M;Orgeres;;1986;
53;SANCHEZ;JUAN;M;Montfort;;1987;
54;MORRIS;JACK;M;Iffendic;;1988;
55;ROGERS;ALBERT;M;Melesse;;1989;
56;REED;JONATHAN;M;Bruz;;1990;
57;COOK;JUSTIN;M;Saint Malo;;1991;
58;MORGAN;TERRY;M;Dinard;;1992;
59;BELL;GERALD;M;Angers;;1993;
60;MURPHY;KEITH;M;Brest;;1994;
61;BAILEY;SAMUEL;M;Nantes;;1995;
62;RIVERA;WILLIE;M;Pace;;1996;
63;COOPER;RALPH;M;Vern;;1997;
64;RICHARDSON;LAWRENCE;M;Mordelles;;1998;
65;COX;NICHOLAS;M;Saint Brieuc;;1999;
66;HOWARD;ROY;M;Paris;Racing club;2000;255206
67;WARD;BENJAMIN;M;Chantepie;;1996;
68;TORRES;BRUCE;M;Cesson Sevigne;;1997;
69;PETERSON;BRANDON;M;Thorigne;;1998;
70;GRAY;ADAM;M;Vezin;;1999;
71;RAMIREZ;HARRY;M;Le Rheu;;2000;
72;JAMES;FRED;M;Fougeres;;1963;
73;WATSON;WAYNE;M;Dinan;;1965;
74;BROOKS;BILLY;M;Pont Pean;;1969;
75;KELLY;STEVE;M;Pont Rean;;1961;
76;SANDERS;LOUIS;M;Chateaugiron;;1951;
77;PRICE;JEREMY;M;Rennes;EARTA;1955;255217
78;BENNETT;AARON;M;Cesson Sevigne;;1957;
79;WOOD;RANDY;M;Rennes;;1947;
80;BARNES;HOWARD;M;Romille;;1970;
81;ROSS;EUGENE;M;Chateaubourg;;1971;
82;HENDERSON;CARLOS;M;Nantes;;1972;
83;COLEMAN;RUSSELL;M;Paris;;1973;
84;JENKINS;BOBBY;M;Saint Brieuc;;1974;
85;PERRY;VICTOR;M;Brest;;1975;
86;POWELL;MARTIN;M;Morlaix;;1976;
87;LONG;ERNEST;M;Quimper;ASPTT Quimper;1970;255227
88;PATTERSON;PHILLIP;M;Bruz;Bruz Athletisme;1971;255228
89;HUGHES;TODD;M;Chartres de Bretagne;Esperance Chartres de Bretagne;1972;255229
90;FLORES;JESSE;M;Chantepie;;1973;
91;WASHINGTON;CRAIG;M;Saint Erblon;;1974;
92;BUTLER;ALAN;M;La Meziere;Agile Talon;1975;255232
93;SIMMONS;SHAWN;M;Montgermont;;1975;
94;FOSTER;CLARENCE;M;Bourgbarre;;1976;
95;GONZALES;SEAN;M;Orgeres;Jogging Loisir Orgeres;1976;255235
96;BRYANT;PHILIP;M;Montfort;EAPB;1977;255236
97;ALEXANDER;CHRIS;M;Iffendic;;1977;
98;RUSSELL;JOHNNY;M;Melesse;JA Melesse Athletisme;1978;255238
99;GRIFFIN;EARL;M;Bruz;;1979;
100;DIAZ;JIMMY;M;Saint Malo;CJF St Malo;1980;255240
101;HAYES;ANTONIO;M;Dinard;;1981;
102;MYERS;DANNY;M;Angers;Anjou Athletisme;1978;255242
103;FORD;BRYAN;M;Brest;Stade Brestois;1979;255243
104;HAMILTON;TONY;M;Nantes;;1980;
105;GRAHAM;LUIS;M;Pace;SRA;1981;255245
106;SULLIVAN;MIKE;M;Vern;;1982;
107;WALLACE;STANLEY;M;Mordelles;;1983;
108;WOODS;LEONARD;M;Saint Brieuc;ASPTT St Brieuc;1984;255248
109;COLE;NATHAN;M;Paris;;1985;
110;WEST;DALE;M;Chantepie;;1986;
111;JORDAN;MANUEL;M;Cesson Sevigne;Athletic club cessonais;1987;255251
112;OWENS;RODNEY;M;Thorigne;;1988;
113;REYNOLDS;CURTIS;M;Vezin;;1989;
114;FISHER;NORMAN;M;Le Rheu;;1990;
115;ELLIS;ALLEN;M;Fougeres;ASPTT Fougeres;1982;255255
116;HARRISON;MARVIN;M;Dinan;;1983;
117;GIBSON;VINCENT;M;Pont Pean;;1984;
118;MCDONALD;GLENN;M;Pont Rean;;1985;
119;CRUZ;JEFFERY;M;Chateaugiron;;1986;
120;MARSHALL;TRAVIS;M;Rennes;SRA;1987;255260
121;ORTIZ;JEFF;M;Cesson Sevigne;;1988;
122;GOMEZ;CHAD;M;Rennes;SRA;1989;255262
123;MURRAY;JACOB;M;Romille;;1990;
124;FREEMAN;LEE;M;Chateaubourg;;1991;
125;WELLS;MELVIN;M;Nantes;Nantes Metropole Athletisme;1992;255265
126;WEBB;ALFRED;M;Paris;;1993;
127;SIMPSON;KYLE;M;Saint Brieuc;;1994;
128;STEVENS;FRANCIS;M;Brest;;1995;
129;TUCKER;BRADLEY;M;Morlaix;;1996;
130;PORTER;JESUS;M;Quimper;;1997;
131;HUNTER;HERBERT;M;Bruz;;1998;
132;HICKS;FREDERICK;M;Chartres de Bretagne;EACB;1999;255272
133;CRAWFORD;RAY;M;Chantepie;;2000;
134;HENRY;JOEL;M;Saint Erblon;;1983;
135;BOYD;EDWIN;M;La Meziere;;1984;
136;MASON;DON;M;Montgermont;;1985;
137;MORALES;EDDIE;M;Bourgbarre;;1986;
138;KENNEDY;RICKY;M;Orgeres;;1987;
139;WARREN;TROY;M;Montfort;;1988;
140;DIXON;RANDALL;M;Iffendic;;1989;
